101,tyler,Basic Tool,Hammer,Excellent,19.99,resource/101.png,This tool is great for projects,7/9/2019
102,lars,Power Tool,Drill,Good,15.99,resource/102.png,This tool is great for projects,
103,tyler,Ladder,10 Foot Ladder,Fair,9.99,resource/103.png,This tool is great for projects,
104,lars,Saw,Table Saw,Good,39.99,resource/104.png,This tool is great for projects,5/1/2019
105,tyler,Wood Working,Chisel,Fair,5.5,resource/105.png,This tool is great for projects,
106,lars,Cement,Cement Mixer,Good,10,resource/106.png,This tool is great for projects,5/5/2019
107,tyler,Painting,Large Paint Roller,Fair,2.99,resource/107.png,This tool is great for projects,
108,lars,Motorized,Lawnmower,Good,50.99,resource/108.png,This tool is great for projects,
109,tyler,Basic Tool,Mallet,Poor,3.79,resource/109.png,This tool is great for projects,5/18/2019
110,lars,Power Tool,Sander,Good,18.99,resource/110.png,This tool is great for projects,
111,lars,Saw,Cordless Reciprocating Saw,Good,40.50,resource/111.png,This is a bare tool and 20.0 Volt saw, which is cordless.,,
112,tyler,Ladder,4 ft. Ladder,Fair,28.90,resource/112.png,Ladder that is 4 feet tall.,,
